number,value,batch_size,dense_units,dropout_rate,epochs,learning_rate,lstm_units_1,lstm_units_2,state
0,0.8729982376098633,64,480,0.4,30,1.7091578189458266e-05,480,336,COMPLETE
1,0.878061830997467,96,224,0.30000000000000004,10,0.0005791380373255617,192,192,COMPLETE
2,0.880573034286499,64,512,0.5,20,0.0009283647052351477,160,112,COMPLETE
3,0.8770326375961304,224,320,0.2,30,8.731374870892545e-05,256,128,COMPLETE
4,0.8801202178001404,224,128,0.30000000000000004,20,0.0003112282856420484,320,160,COMPLETE
5,0.8666584491729736,128,384,0.4,10,3.7150636635286374e-05,320,192,COMPLETE
6,0.8568193912506104,160,224,0.30000000000000004,10,0.005812452943256737,96,48,COMPLETE
7,0.8629533648490906,160,256,0.30000000000000004,10,0.0033917930773413887,96,48,COMPLETE
12,0.8790087103843689,192,64,0.2,20,0.0016446580041057784,384,320,COMPLETE
13,0.8739039301872253,256,160,0.4,20,0.00014455421088706313,192,128,COMPLETE
16,0.8764151334762573,192,512,0.2,20,0.0023256035535991326,288,176,COMPLETE
17,0.8597010970115662,224,384,0.5,10,0.00010906114410156313,64,32,COMPLETE
18,0.8617183566093445,128,128,0.4,30,0.00714913476549205,160,112,COMPLETE
25,0.8676876425743103,160,96,0.30000000000000004,20,0.004438362069621676,384,320,COMPLETE
26,0.886130690574646,192,160,0.4,30,0.0006793443367131475,224,144,COMPLETE
36,0.8722572326660156,256,224,0.30000000000000004,10,0.0016868211535279705,128,96,COMPLETE
40,0.857519268989563,224,256,0.5,20,0.009310051845152361,192,128,COMPLETE
43,0.8744802474975586,96,192,0.30000000000000004,10,0.00020312787086169953,192,160,COMPLETE
55,0.8710633516311646,224,352,0.30000000000000004,30,2.1170451701105263e-05,352,240,COMPLETE
65,0.8641883730888367,192,96,0.30000000000000004,10,0.004046109560643685,160,112,COMPLETE
68,0.8569017052650452,256,512,0.30000000000000004,20,1.039561090533759e-05,224,144,COMPLETE
83,0.874068558216095,224,160,0.4,20,0.0001388571482883374,192,128,COMPLETE
86,0.8699518442153931,192,64,0.5,10,0.00028277011562710577,192,128,COMPLETE
91,0.8678111433982849,256,160,0.4,20,5.729950522594697e-05,192,128,COMPLETE
94,0.8728747367858887,160,192,0.4,20,9.20683037940821e-05,224,144,COMPLETE
